English Value,Arabic Value
About,عن الشركة
Accepts Offers,قبول العرض
Account,الحساب
Account Details,تفاصيل الحساب
Active,فعّال
Additional Documents,مستندات إضافية
Address,العنوان
Address 1,عنوان أول
Address 2,عنوان ثاني
Address type,نوع العنوان
<span>Add</span> Address,<span>إضافة</span> عنوان
You have not added any address yet. <a href= :attribute >Click here</a>&nbsp; to add address.,يرجى إضافة العنوان، لم يتم إضافة عنوان بعد <a href= :attribute> اضغط هنا  </a>&nbsp; لإضافة العنوان.
Add Balance,إضافة رصيد للحساب
<span>Add</span> Credit Card,<span>إضافة</span> بطاقة إئتمان
Add new Adress,إضافة عنوان جديد
Add to watchlist,إضافة إلى المشاهدة
Add to watch list,إضافة إلى المشاهدة
All,الكل
All Listings,القوائم
All Rights Reserved,جميع الحقوق محفوظة
Amount,المبلغ
Area,المنطقة
Are you sure want to remove address?,تأكيد حـذف العنوان؟
Are you sure want to remove credit card?,تأكيد حـذف بطاقة الإئتمان؟
Are you sure want to remove item?,تأكيد حذف هذا المنتج؟
Are you sure want to set as primary address ?,تثبيت العنوان كعنوان رئيسي؟
Are you sure want to set as primary  credit card ?,تثبيت بطاقة الإئتمان الرئيسية؟
Auction,مزاد
Auctions Id,رمز المزاد
Auctions,مزادات
Back,الرجوع
Back to login?,الرجوع لتسجيل الدخول؟
Balance,الرصيد
Balance type id,رمز نوع الرصيد
Bank account name,اسم الحساب البنكي
Bank account number,رقم الحساب البنكي
Bank address,عنوان البنك
Bank name,اسم البنك
Bank Transfer,تحويل بنكي
Banners,مساحات
BestSeller,الأكثر مبيعاً
Best Offer,أفضل العروض
Bid,مُزايدة
Bid(s),مزايدات
Bid Amount,مبلغ المُزايدة
Bid History,تاريخ المُزايدة
Bid History not found,لم يتم العثور على تاريخ المُزايدة
Bid Now,زاود الآن
Bid Type,نوع المزاودة
Billing Address,تفاصيل عنوان الفواتير
Browse File,بحث
Buyer,المشتري
Buyer Id,رمز المشتري
Buyer Information,معلومات المشتري
Buyer Name,اسم المشتري
Buying Format,طريقة الشراء
Buy It Now,اشتري الآن
Buy Now,اشتري الآن
Buy Price,سعر الشراء
Cancel,إلغاء
Card Number,رقم البطاقة
Categories,الأقسام
Category,قسم
Change Password,تغيير كلمة المرور
<span>Change </span> Password,<span>تغيير</span> كلمة المرور
Checkout,الدفع
Cheque date,تاريخ الشيك
Cheque No,رقم الشيك
Cheque number,رقم الشيك
City,المدينة
CMS Page,صفحة إدارة المحتوى
Coming Soon !!,قريبا
Comment,تعليق
Commission,عمولة
Commission VAT,ضريبة العمولة
Completed,تم
Condition,شرط
Confirm,تأكيد
Confirmation,تأكيد
Confirm and pay,التأكيد والدفع
Confirm password,تأكيد كلمة المرور
Confirm your buy of,تأكيد الشراء
Contact,الإتصال
<span>Contact </span> Seller,<span>التواصل</span> مع البائع
Contact US,تواصل معنا
<span>CONTACT </span> INFO,معلومات <span>الإتصال</span>
Copyright,حقوق النشر
Country,البلد
Country or Region,البلد أو المنطقة
Create Date,إنشاء تاريخ
Credit Card,بطاقة ائتمان
Creditcards,بطاقات الإئتمان
Credit or Debit Card,بطاقة الإئتمان أو بطاقة البنك
Currency Code,رمز العملة
Current Address,العنوان الحالي
Current Balance,الرصيد الحالي
Current Bid,المزاودة 
Current Bid Price,سعر المزاد الحالي
Current  Password,كلمة المرور الحالية
Current Price,السعر الحالي
Customer,العميل
Customer id,رمز العميل
CVV,رمز البطاقة السري CVV
Dashboard,اللوحة الرئيسية
Date,التاريخ
Date/Time,التاريخ/الوقت
Deals,العروض
Do you want to deduct wallet balance?,هل تريد الخصم من المحفظة؟
Delete,حذف
Delivery,التوصيل
Deposit,التأمين
Deposit Amount,مبلغ التأمين
Deposit number,رقم التأمين
Description,التفاصيل
Detail,معلومات أكثر
Device model,موديل الجهاز
Device name,اسم الجهاز
Device no,رقم الجهاز
Device platform,برنامج الجهاز
Device type,نوع الجهاز
Device UUID,رمز الجهاز UUID
Device version,إصدار الجهاز
Birthdate,تاريخ الميلاد
Done,تم
Draft,مسودّة
Edit,تعديل
<span>Edit</span> Address,<span>تعديل</span> العنوان
<span>Edit</span> Credit Card,<span>تعديل</span> بطاقة الإئتمان
Edit Profile,<span>تعديل الملف الشخصي
<span>Edit </span> profile,<span>تعديل</span> الملف الشخصي
Email,العنوان البريدي
Email or Mobile,العنوان البريدي أو رقم الجوال
Ending Soon,ينتهي قريباً
Ends in,ينتهي خلال
End Date/Time,ينتهي بتاريخ/الوقت
Enter Bid Amount,ادخل مبلغ المُزايدة
Please enter amount greater than 0.,الرجاء ادخال مبلغ أكبر من صفر
Enter proxy bid amount,ادخل مبلغ المُزايدة الآلي
Enter shipping address,ادخل تفاصيل عنوان الشحن
Enter the name of your card,ادخل الإسم على البطاقة
Enter valid bid amount,الرجاء ادخال مبلغ مزايدة صحيح
Enter valid proxy bid amount,الرجاء ادخال مبلغ مزايدة آلية صحيح
Enter your email,ادخل العنوان البريدي
Error,خطأ
Expiry Date,تاريخ الإنتهاء
Feedback,ملاحظات
Feedback For,ملاحظات بشأن
Filter,فلتر
Final Price,السعر النهائي
First name,الإسم الأول
Fixed Price,السعر المثبت
Forgot password,نسيت كلمة المرور
<span>Forgot </span> password,<span>نسيت</span> كلمة المرور
Forgot your password?,نسيت كلمة المرور؟
From,من
Gender,الجنس
Go to detail page,الذهاب لصفحة التفاصيل
Help,المساعدة
High Bidder,أعلى مزاود
History for,تفاصيل تاريخ ل
Home,الصفحة الرئيسية
Hot,عرض
How it works,طريقة العمل
InActive,غير مفعّل
Instagram,حساب الإنستقرام
Insurance,التأمين
Invoices,الفواتير
Invoice Date/Time,تاريخ/وقت الفاتورة
Invoice Information,معلومات الفاتورة
Invoice Number,رقم الفاتورة
ISD,
ISD Code,رمز ISD
Item,المنتج
items have been sold,المنتجات المباعة
Item and Shipping,المنتج والشحن
Items are available,المنتجات المتاحة
Item is expired !,انتهى الوقت
Item Name,اسم المنتج
Item Price,سعر المنتج
Item is sold !,تم البيع
Item TAX,ضريبة المنتج
Language,اللغة
Language code,رمز اللغة
Last name,اسم العائلة
Learn More,معلومات أخرى
Live,الآن
Loading...,جاري التحميل
Login,تسجيل الدخول
Login id,رمز الدخول
Logout,تسجيل الخروج
Low to High,من الأقل للأعلى
Make Offer,تقديم عرض
Message,ارسل رسالة
Minimum Bid,أقل مزاودة
Mobile,الجوال
Mobile ISD,رمز الدولة
Month,الشهر
More,أكثر
My Account,حسابي
My Bid,مزادي
My Bids,مزايدات
My Max Bid,أعلى مزايدة
Name,الإسم
Name on Card,الإسم على البطاقة
New,جديد
Newest Products,جديد
News,الأخبار
New Password,كلمة سر جديدة
Not Sold,غير مباع
Not Won,لم يرسى المزاد
Don't Have an Account?,ليس لديك حساب؟ قم بالتسجيل الآن
No active products found,لم يتم العثور على هذا المنتج الرجاء مواصلة البحث
No completed products found,لم يتم العثور على هذا المنتج الرجاء مواصلة البحث
No payment history found,لم يتم العثور على تفاصيل الدفع
No products found,لم يتم العثور على هذا المنتج الرجاء مواصلة البحث
No quantity available,لايوجد كمية محددة
No shipping methods available!,لايوجد طرق شحن متوفرة
No upcoming auction found,لايوجد مزادات قادمة في الوقت الحالي
No wallet history found,لم يتم العثور على تفاصيل المحفظة
No watchlist products found,لايوجد منتجات في قائمة المشاهدة
Number of bid,عدد المزايدات
of,من
Offers,العروض
Ok,تم
Or,أو
Order,الطلب
Order No,رقم الطلب
Order number:,رقم الطلب
Our,نحن
Page,صفحة
Page id,رمز الصفحة
Partner,شريك
Partners,الشركاء
Password,كلمة المرور
Payments,الدفعات
Payment Amount,المبلغ
Payment Date,تاريخ الإستحقاق
Payment History,تفاصيل الدفعات
Payment Method,طريقة الدفع
Payment Options,خيارات الدفع
Payment Type,نوع الدفع
Pay now,ادفع الآن
Pay With,ادفع بطريقة
Phone,الهاتف
Phone 1,رقم الهاتف
Phone ISD,الرمز الدولي
Phone Number,رقم الهاتف
Pickup Address,عنوان الإستلام
Pick From Company Site,الإستلام من موقع الشركة
Please select category or enter product name to search,الرجاء اختيار القسم آو اسم المنتج للبحث
Popular,رائج
Post a question,نشر سؤال
Price,السعر
Price Filter,تصنيف السعر
Price - Low to High,السعر من الآقل الى الآعلى
Primary Address,العنوان الرئيسي
Primary Creditcard,بطاقة الإئتمان الرئيسية
Product Details,تفاصيل المنتج
Proxy amount,مبلغ المزاد الآلي
Quantity,الكمية
Questions & Answers,الإستفسارات 
Quick Bid,مزايدة سريعة
Quick View,عرض سريع
Rating,التقييم
Ratting,التقييم
Recent Sold Items,تم بيعه مؤخرا
Reference type id,رمز نوع المرجع
Registration,التسجييل
Remaining Amount,المبلغ المتبقي
Remove from watchlist,ازاله من قائمة المشاهدة
Remove Item?,حذف المنتج؟
Required Fields,الحقول المطلوبة
Reserve Price Met,حسب السعر المحفوظ
Reserve Price Not Met,ليس حسب السعر المحفوظ
Reset password,إعادة تعيين كلمة المرور
<span>Reset </span> password,<span>إعادة تعيين</span> كلمة المرور
Returns,ارجاع
Review,آراء العميل
Reviews,آراء العميل
Sales order id,رمز طلبيات البيع
Sales order item,المنتج المباع
Sales Quote Id,رمز السعر المقترح للبيع
Sales Tax,ضريبة المبيعات
Sale Date/Time,تاريخ ووقت البيع
Sale Ended !,انتهاء عملية البيع
Save,حفظ
Saved,تم الحفظ
SAVE YOUR CREDIT CARD FOR FUTURE PURCHASES,قم بتخزين معلومات البطاقة للعمليات القادمة
Schedule,جدولة
Search,بحث
Search keyword,كلمة البحث
Search Products,البحث عن منتج
See details,الإطلاع علي التفاصيل
Select Address,اختر العنوان
Select Category,اختر القسم
Seller,البائع
Seller Address,عنوان البائع
Seller Information,معلومات البائع
Send,ارسل
Send Message,ارسل رسالة
<span>Send a </span> Message,<span>ارسل</span> رسالة
Set Primary,تعيين بشكل أساسي
Share,المشاركة
Shipping,الشحن
Shipping Address,عنوان الشحن
Shipping Charges,رسوم الشحن
Shipping Information,معلومات الشحن
Shipping Method,طريقة الشحن
Shipping and payments,الشحن و الدفع
Ship To,اشحن الى
Shop By Categories,تسوق حسب الأقسام
Sign in,تسجيل الدخول
<span>Sign </span> in,تسجيل</span> الدخول
sign in or register,تسجيل الدخول أو تسجيل حساب جديد
Sign in to checkout,تسجيل الدخول للمتابعة
Signin via Social Media,تسجيل الدخول باستخدام وسائل التواصل الاجتماعي
Sign up,تسجيل حساب جديد
<span>Sign </span> Up,<span>تسجيل</span> حساب جديد
Sold,مُباع
Sort By,الترتيب حسب
Starting Price,السعر المبدئي
Start Date/Time,البدء بتاريخ/الوقت
Start Price,السعر المبدئي
State,المنطقة
State/Province/Region,المنطقة/المحافظة
Status,الحاله
Stay Connected,ابق على اتصال
Street Address,عنوان الشارع
Subject,الموضوع
Submit,تقديم
Submit Bid,تقدم بالمزايدة
<span>Submit </span> Feedback,<span>تقديم</span> الإقتراحات
Submit Proxy Bid,تقديم المزايدة الآلية
Subscribe,الإشتراك المجاني
Subscribe  Newsletter,الإشتراك بأخبار مُزايدة كوم
Subtotal,المجموع
Sub total,المجموع
Successful,تم بنجاح
Success,تم بنجاح
Supported Files,الملفات المرفقة
Time is up !,انتهى الوقت
Time Remaining,الوقت المتبقي
To,الى
token,الرمز
Total,المجموع
Total no of bids,عدد المزايدات
Total Price,السعر الإجمالي
Transaction Reference Number,رقم مرجع المعامله
Unit Price,السعر
Un Successful,لم يتم بنجاح
Upcoming,القادم
Upload Transaction Receipt,تحميل رصيد العملية
Used,مستخدم
UserName,اسم العميل
Use existing address,استخدم عنوان موجود
Variable,متغير
View Details,عرض التفاصيل
View Invoice,عرض الفاتورة
View Item,عرض المنتج
View Listing,عرض القائمة
View More,عرض المزيد
Wallet,المحفظة
Wallet Amount,المبلغ المتوفر في المحفظة
Watching,متابعة 
Watch Video,مشاهدة الفيديو
We on,نحن في
Winner's Bid,مزايدة الفائز بالمزاد
Watchlist,قائمة المشاهدة
Won,الفوز بالمزاد
Year,السنة
Your deposit has been submitted successfully.,تم إيداع مبلغ التأمين بنجاح
Your payment information is stored securely.,يتم حفظ معلومات الدفع بشكل آمن
You will receive an email notification with your deposit status.,سيتم ارسال رسالة بريد إلكتروني بحالة الدفع
Zip,عنوان الرمز البريدي
404 Page is missing,الصفحة غير متاحه حاليا
:attribute added successfully.,تم إضافة :attribute بنجاح
Item has been successfully added to your watchlist.,تم إضافة المنتج الى قائمة المشاهدة
You have already submitted proxy bid.,لقد تم تقديم المزايدة الآلية من قبل
Quick bid submitted successfully,تم تقديم المُزايدة السريعة بنجاح
Bid submitted successfully,تم تقديم المُزايدة  بنجاح
Wrong confirmation of password.,خطأ في تأكيد كلمة المرور
password confirmation does not match the new password.,كلمة المرور غير متطابقة مع كلمة المرور الجديدة
Your contact inquiry for auction to seller has been submitted successfully.,تم تقديم معاملة الطلب للبائع بنجاح
Your enquiry has been submitted.,تم تقديم الطلب بنجاح
These credentials do not match our records.,لم تتطابق معلومات الدخول
"Your deposit for :attribute amount is not credited yet.
Please contact administrator for further details.",لم يتم إيداع مبلغ التأمين بعد. الرجاء التواصل مع قسم المساعدة للحصول على التفاصيل
You have already paid your deposit,لقد قمت بإيداع مبلغ التأمين من قبل
:attribute details not found.,لم يتم العثور على :attribute
:attribute edited successfully.,تم التعديل :attribute بنجاح 
The :attribute must be a valid email address.,يجب إضافة بريد إلكتروني :attribute مفعل
Email not exist.,لايوجد عنوان بريدي
error in changing password.,خطأ في تغيير كلمة المرور
Error in editing profile.,خطأ في تعديل الملف الشخصي
:attribute not exist.,لايوجد :attribute
We have e-mailed your password reset link!,تم ارسال رابط  تغيير كلمة المرور من خلال البريد الإلكتروني
Your reset password link has been expired.Please make request again.,انتهى وقت صلاحية الرابط، الرجاء إعادة تقديم طلب تغيير كلمة المرور مره أخرى
Your forgot password link is validate successfully.,تم التحقق من رابط تغيير كلمة المرور بشكل صحيح
Invalid extension for uploaded file,لايمكن تحميل الملفات من هذا النوع
Image has exceeded the maximum allowed size is 5MB,حجم الصورة تعدى الحجم المسموح فيه وهو ٥ ميغابايت
You have insufficient account balance.So please add more balance in your wallet.,الرصيد المتبقي لايسمح بإكمال المعاملة، يرجى إضافة مبلغ إضافي للمحفظة
Invalid bid amount,مبلغ المزايدة غير صحيح
Invalid :attribute,:attribute غير صحيح
Invalid access. Please login again.,دخول غير صحيح. الرجاء محاولة الدخول مره أخرى
proxy bid amount must be greater than :attribute,مبلغ المزايدة الآلية يجب أن يكون أكثر من
Invalid Request Data Type,نوع طلب المعلومات غير صحيح
Invalid status of this profile.,حالة هذا الملف غير صحيح
The requested item has already been purchased by you.,تم شراء المنتج من جهتكم
Your login has expired. Please login for continue.,الرجاء إعادة تسجيل الدخول للمتابعة
Please login to continue.,قم بتسجيل الدخول للمتابعة
Please login to submit your bid,قم بتسجيل الدخول لدخول المزاد
Please login to add product in wishlist,قم بتسجيل الدخول لإضافة المنتج الى قائمة المشاهدة
Maximum bid price is reached.,تم الوصول الى الحد الأقصى لسعر المزاد
The :attribute may not be greater than :max characters.,يجب أن لايتعدى :attribute عدد حروف أكثر من :max
Please enter minimum bid amount,يجب إدخال الحد الأدنى لمبلغ المزايدة
The :attribute must be at least :min characters.,يجب أن يكون :attribute على الأقل :min حروف
:attribute is missing.,  :attribute مفقود
:attribute Id is missing.,رمز :attribute مفقود
You have subscribed to newsletter successfully,تم الإشتراك بشكل ناجح
No Address Found,لم يتم العثور على عنوان
No :attribute available.,لا يوجد :attribute متاح
No :attribute data found.,لا يوجد معلومات :attribute متاحه
No quantity available for this item,لايوجد كمية متاحه من هذا المنتج
Your order has been submitted successfully.,تم تقديم طلبكم بنجاح
Password changed successfully .,تم تغيير كلمة المرور بنجاح
Your password was incorrect.,كلمة المرور غير صحيحه
Please enter email address,الرجاء ادخال عنوان بريدي
Please enter valid email address,الرجاء ادخال عنوان بريدي صحيح
Please Login,الرجاء تسجيل الدخول
This profile has been inactivated by administrator.,تم إيقاف هذا الحساب، الرجاء التواصل مع قسم المساعدة
This profile has been blocked by administrator.,تم إلغاء صلاحية الحساب، الرجاء التواصل مع قسم المساعدة
Profile edited successfully.,تم تعديل الملف الشخصي بنجاح
Proxy bid should be greater than current price.,يجب أن يكون قيمة المزايدة الآلية أكبر من السعر الحالي
Proxy Bid is submitted successfully,تم تقديم المزايدة الآلية بنجاح
Quote item deleted successfully,تم إلغاء المنتج بنجاح
The :attribute format is invalid.,نوع الملف :attribute غير صحيح
"Enter at least one uppercase letter, one lowercase letter, one number and one special character for password.",يجب إدخال على الأقل حرف واحد كبير، حرف واحد صغير على الأقل، رقم واحد على الأقل، رمز واحد على الأقل في كلمة المرور
You have successfully registered with SQCauction.,لقد قمت بالتسجيل بنجاح
Item has been successfully removed from your watchlist.,تم إزالة المنتج من قائمة المشاهدة بنجاح
The requested item does not exist in our records.,المنتج المطلوب غير متاح
No records found with request parameters,لم يتم العثور على المعلومات المطلوبة
The :attribute field is required.,:attribute  مطلوب تعبئة
Your password has been reset.please log in to continue.,لقد تم تغيير كلمة المرور، الرجاء إعادة تسجييل الدخول
Select :attribute,قم باختيار :attribute
Your feedback for auction has been submitted successfully.,لقد تم تقديم اقتراحكم بنجاح
Something went wrong.,نتحقق من وجود خطأ، الرجاء المحاولة مره أخرى أو التواصل مع خدمة العملاء
You need to submit :attribute deposit in order to submit your bid.,الرجاء القيام بدفع دفعة أولى :attribute للمزايدة والمتابعة
"We are unable to send mail right now, please try after some time.",لا نستطيع إرسال بريد إلكتروني في الوقت الحالي، الرجاء المحاولة لاحقا
The :attribute has already been taken.,:attribute غير متاح
Enter valid :attribute,قم بإدخال :attribute صحيح
Something went wrong with your request,نتحقق من وجود خطأ، الرجاء المحاولة مره أخرى أو التواصل مع خدمة العملاء
You will receive an email notification with your order status.,سيتم ارسال رسالة بريد إلكتروني بحالة الطلب
"<ul>
                      <li>Fast and easy check out</li>
                      <li>Easy access to your order history and status </li>  
                      <li>Even faster checkout for future purchases</li>
                      <li>Receive our FREE e-newsletter with exclusive offers and new items.</li>
                      <li>You can easily unsubscribe at any time</li>
 </ul>","<ul>
</li>انهاء معاملة بشكل سريع وسهل <li>
</li> دخول سريع وسهل لمعلومات وحالة الطلب<li>
</li> إنهاء المعاملات بشكل سهل وسريع لعمليات الشراء المستقبلية<li>
</li>استلم آخر العروض الخاصه <li> 
</li>يمكنكم حذف الإشتراك في وقت لاحق <li>
 </ul>"
"By creating an account with our store, you will be able to move through the checkout process faster, view and track your orders in your account and more.",all these need to be updated to new company address
Saudi Arabia – the eastern region – Khalidi station (Dammam) Dammam Abqaiq road after the second industrialized auction Piazza after the station by a space 1 km Petrol,all these need to be updated to new company address
"Safwa 32474, Saudi Arabia",all these need to be updated to new company address
Saud  Al_Qahtany company was founded in 1970. It is the nucleus of Saud Al_Qahtany group of companies.,all these need to be updated to new company address
"<h3>First Online Auction</h3>
<p> in the Kingdom of Saudi Arabia</p>",all these need to be updated to new company address
"<h3>Swift and</h3>
<p>secure sales</p>",all these need to be updated to new company address
"<h3>In-house</h3>
 <p> experts </p>",all these need to be updated to new company address
"<h3>International</h3>
<p>audience</p>",all these need to be updated to new company address
"Dammam 2nd Industrial City Dhahran 34364, Saudi Arabia",all these need to be updated to new company address
"<h2>welcome to <strong>SQC Auction</strong></h2>
<h3>:attribute</h3>",all these need to be updated to new company address
GMT,توقيت غرينتش